2022-06-14 19:48:12.167392 (INFO)     | An attempt to test the connection with APPS was made and the connection was successful.
2022-06-15 16:18:50.530699 (INFO)     | info lol
2022-06-15 16:18:50.531056 (WARNING)  | warning lol
2022-06-15 16:18:50.531336 (ERROR)    | error lol
2022-06-15 16:18:50.531640 (CRITICAL) | critical lol
2022-06-15 16:18:53.534974 (INFO)     | after 3 seconds
2022-06-15 16:18:58.785408 (INFO)     | info lol
2022-06-15 16:18:58.785753 (WARNING)  | warning lol
2022-06-15 16:18:58.786027 (ERROR)    | error lol
2022-06-15 16:18:58.786320 (CRITICAL) | critical lol
2022-06-15 16:19:01.789607 (INFO)     | after 3 seconds
